State,Destination,County/Location Defined,Season Begin,Season End,FY24 Lodging Rate,FY24 M&IE
PA,Malvern / Frazer / Berwyn,Chester,,,$129,$64
PA,Montgomery,Montgomery,,,$126,$69
PA,Philadelphia,Philadelphia,October 1,November 30,$211,$79
PA,Philadelphia,Philadelphia,December 1,February 29,$157,$79
PA,Philadelphia,Philadelphia,March 1,June 30,$210,$79
PA,Philadelphia,Philadelphia,July 1,August 31,$169,$79
PA,Philadelphia,Philadelphia,September 1,September 30,$211,$79
PA,Pittsburgh,Allegheny,,,$136,$64
PA,Reading,Berks,,,$121,$59
PA,State College,Centre,,,$114,$69
RI,East Greenwich / Warwick,Kent,,,$108,$69
RI,Jamestown / Middletown / Newport,Newport,October 1,October 31,$231,$64
RI,Jamestown / Middletown / Newport,Newport,November 1,May 31,$143,$64
RI,Jamestown / Middletown / Newport,Newport,June 1,August 31,$284,$64
RI,Jamestown / Middletown / Newport,Newport,September 1,September 30,$231,$64
RI,Providence / Bristol,Providence / Bristol,,,$155,$64
SC,Charleston,Charleston / Berkeley / Dorchester,October 1,February 29,$249,$79
SC,Charleston,Charleston / Berkeley / Dorchester,March 1,May 31,$303,$79
SC,Charleston,Charleston / Berkeley / Dorchester,June 1,September 30,$249,$79
SC,Columbia,Richland / Lexington,,,$112,$64
SC,Hilton Head,Beaufort,October 1,October 31,$163,$69
SC,Hilton Head,Beaufort,November 1,February 29,$122,$69
SC,Hilton Head,Beaufort,March 1,May 31,$196,$69
SC,Hilton Head,Beaufort,June 1,August 31,$235,$69
SC,Hilton Head,Beaufort,September 1,September 30,$163,$69
SC,Myrtle Beach,Horry,October 1,March 31,$107,$69
SC,Myrtle Beach,Horry,April 1,May 31,$130,$69
SC,Myrtle Beach,Horry,June 1,August 31,$203,$69
SC,Myrtle Beach,Horry,September 1,September 30,$107,$69
SD,Deadwood / Spearfish,Lawrence,October 1,May 31,$107,$74
SD,Deadwood / Spearfish,Lawrence,June 1,September 30,$157,$74
SD,Hot Springs,Fall River / Custer,October 1,May 31,$107,$64
SD,Hot Springs,Fall River / Custer,June 1,September 30,$152,$64
SD,Rapid City,Pennington,October 1,May 31,$107,$64
SD,Rapid City,Pennington,June 1,August 31,$169,$64
SD,Rapid City,Pennington,September 1,September 30,$107,$64
TN,Brentwood / Franklin,Williamson,,,$125,$69
TN,Chattanooga,Hamilton,,,$117,$64
TN,Knoxville,Knox,,,$113,$64
TN,Memphis,Shelby,,,$123,$69
TN,Nashville,Davidson,October 1,November 30,$237,$79
TN,Nashville,Davidson,December 1,January 31,$187,$79
TN,Nashville,Davidson,February 1,June 30,$233,$79
TN,Nashville,Davidson,July 1,August 31,$210,$79
TN,Nashville,Davidson,September 1,September 30,$237,$79
TX,Arlington / Fort Worth / Grapevine,Tarrant County / City of Grapevine,,,$175,$64
TX,Austin,Travis,October 1,March 31,$184,$64
TX,Austin,Travis,April 1,August 31,$170,$64
TX,Austin,Travis,September 1,September 30,$184,$64
TX,Big Spring,Howard,,,$136,$64
TX,Dallas,Dallas,October 1,December 31,$164,$69
TX,Dallas,Dallas,January 1,March 31,$182,$69
TX,Dallas,Dallas,April 1,September 30,$164,$69
TX,Galveston,Galveston,October 1,May 31,$107,$64
TX,Galveston,Galveston,June 1,July 31,$142,$64
TX,Galveston,Galveston,August 1,September 30,$107,$64
TX,Houston,Montgomery / Fort Bend / Harris,,,$122,$69
TX,Midland / Odessa,Midland / Andrews / Ector / Martin,,,$183,$64
TX,Pecos,Reeves,,,$134,$59
TX,Plano,Collin,,,$122,$64
TX,San Antonio,Bexar,,,$143,$64
TX,South Padre Island,Cameron,October 1,February 29,$108,$59
TX,South Padre Island,Cameron,March 1,July 31,$130,$59
TX,South Padre Island,Cameron,August 1,September 30,$108,$59
TX,Waco,McLennan,October 1,February 29,$107,$64
TX,Waco,McLennan,March 1,April 30,$123,$64
TX,Waco,McLennan,May 1,September 30,$107,$64
UT,Moab,Grand,October 1,October 31,$210,$69
UT,Moab,Grand,November 1,February 29,$107,$69
UT,Moab,Grand,March 1,September 30,$210,$69
UT,Park City,Summit,October 1,November 30,$204,$79
UT,Park City,Summit,December 1,March 31,$425,$79
UT,Park City,Summit,April 1,September 30,$204,$79
UT,Provo,Utah,,,$111,$64
UT,Salt Lake City,Salt Lake / Tooele,October 1,March 31,$139,$64
UT,Salt Lake City,Salt Lake / Tooele,April 1,May 31,$132,$64
UT,Salt Lake City,Salt Lake / Tooele,June 1,September 30,$139,$64
VA,Blacksburg,Montgomery,October 1,October 31,$134,$59
VA,Blacksburg,Montgomery,November 1,June 30,$111,$59
VA,Blacksburg,Montgomery,July 1,September 30,$134,$59
VA,Charlottesville,City of Charlottesville / Albemarle,,,$133,$69
VA,Loudoun,Loudoun,,,$116,$69
VA,Lynchburg,Campbell / Lynchburg City,,,$109,$64
VA,Richmond,City of Richmond,,,$149,$64
VA,Roanoke,City limits of Roanoke,,,$122,$59
VA,Virginia Beach,City of Virginia Beach,October 1,May 31,$120,$64
VA,Virginia Beach,City of Virginia Beach,June 1,August 31,$222,$64
VA,Virginia Beach,City of Virginia Beach,September 1,September 30,$120,$64
VA,Wallops Island,Accomack,October 1,June 30,$129,$64
VA,Wallops Island,Accomack,July 1,August 31,$245,$64
VA,Wallops Island,Accomack,September 1,September 30,$129,$64
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,October 1,December 31,$118,$64
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,January 1,March 31,$107,$64
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,April 1,August 31,$137,$64
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,September 1,September 30,$118,$64
VT,Burlington,Chittenden,October 1,October 31,$187,$69
VT,Burlington,Chittenden,November 1,April 30,$125,$69
VT,Burlington,Chittenden,May 1,September 30,$187,$69
VT,Manchester,Bennington,October 1,October 31,$225,$79
VT,Manchester,Bennington,November 1,July 31,$172,$79
VT,Manchester,Bennington,August 1,September 30,$225,$79
VT,Montpelier,Washington,October 1,October 31,$214,$69
VT,Montpelier,Washington,November 1,July 31,$162,$69
VT,Montpelier,Washington,August 1,September 30,$214,$69
VT,Stowe,Lamoille,October 1,November 30,$176,$79
VT,Stowe,Lamoille,December 1,February 29,$167,$79
VT,Stowe,Lamoille,March 1,September 30,$176,$79
VT,White River Junction,Windsor,October 1,October 31,$138,$64
VT,White River Junction,Windsor,November 1,June 30,$118,$64
VT,White River Junction,Windsor,July 1,September 30,$138,$64
WA,Everett / Lynnwood,Snohomish,October 1,May 31,$116,$74
WA,Everett / Lynnwood,Snohomish,June 1,August 31,$139,$74
WA,Everett / Lynnwood,Snohomish,September 1,September 30,$116,$74
WA,Ocean Shores,Grays Harbor,October 1,June 30,$111,$74
WA,Ocean Shores,Grays Harbor,July 1,August 31,$146,$74
WA,Ocean Shores,Grays Harbor,September 1,September 30,$111,$74
WA,Olympia / Tumwater,Thurston,October 1,October 31,$132,$74
WA,Olympia / Tumwater,Thurston,November 1,August 31,$153,$74
WA,Olympia / Tumwater,Thurston,September 1,September 30,$132,$74
WA,Port Angeles / Port Townsend,Clallam / Jefferson,October 1,June 30,$129,$74
WA,Port Angeles / Port Townsend,Clallam / Jefferson,July 1,August 31,$219,$74
WA,Port Angeles / Port Townsend,Clallam / Jefferson,September 1,September 30,$129,$74
WA,Richland / Pasco,Benton / Franklin,,,$118,$69
WA,Seattle,King,October 1,October 31,$232,$79
WA,Seattle,King,November 1,April 30,$176,$79
WA,Seattle,King,May 1,September 30,$232,$79
WA,Spokane,Spokane,,,$127,$74
WA,Tacoma,Pierce,,,$132,$69
WA,Vancouver,Clark / Cowlitz / Skamania,October 1,October 31,$182,$74
WA,Vancouver,Clark / Cowlitz / Skamania,November 1,May 31,$152,$74
WA,Vancouver,Clark / Cowlitz / Skamania,June 1,September 30,$182,$74
WI,Madison,Dane,October 1,October 31,$131,$64
WI,Madison,Dane,November 1,March 31,$109,$64
WI,Madison,Dane,April 1,September 30,$131,$64
WI,Milwaukee,Milwaukee,October 1,May 31,$129,$64
WI,Milwaukee,Milwaukee,June 1,July 31,$155,$64
WI,Milwaukee,Milwaukee,August 1,September 30,$129,$64
WI,Sturgeon Bay,Door,October 1,October 31,$128,$74
WI,Sturgeon Bay,Door,November 1,May 31,$107,$74
WI,Sturgeon Bay,Door,June 1,September 30,$128,$74
WI,Wisconsin Dells,Columbia,October 1,May 31,$107,$59
WI,Wisconsin Dells,Columbia,June 1,August 31,$132,$59
WI,Wisconsin Dells,Columbia,September 1,September 30,$107,$59
WV,Charles Town,Jefferson,,,$112,$74
WV,Charleston,Kanawha,,,$113,$64
WY,Cody,Park,October 1,May 31,$162,$69
WY,Cody,Park,June 1,September 30,$282,$69
WY,Jackson / Pinedale,Teton / Sublette,October 1,May 31,$207,$79
WY,Jackson / Pinedale,Teton / Sublette,June 1,September 30,$384,$79
All,All,All,,,$107,$59
