ITEM_NUM,AWARD_YEAR,ORIGIN_AIRPORT_ABBREV,DESTINATION_AIRPORT_ABBREV,ORIGIN_CITY_NAME,ORIGIN_STATE,ORIGIN_COUNTRY,DESTINATION_CITY_NAME,DESTINATION_STATE,DESTINATION_COUNTRY,AIRLINE_ABBREV,AWARDED_SERV,PAX_COUNT,YCA_FARE,_CA_FARE,BUSINESS_FARE,_CP_FARE,ORIGIN_AIRPORT_LOCATION,DESTINATION_AIRPORT_LOCATION,ORIGIN_CITY_STATE_AIRPORT,DESTINATION_CITY_STATE_AIRPORT,EFFECTIVE_DATE,EXPIRATION_DATE
1,2024,ABE,ATL,ALLENTOWN,PA,USA,ATLANTA,GA,USA,DL,N,290,582,291,0,0,ALLENTOWN,ATLANTA,ALLENTOWNPA-ABE,ATLANTAGA-ATL,10/1/23,9/30/24
2000,2024,ABE,AUS,ALLENTOWN,PA,USA,AUSTIN,TX,USA,UA,C,20,273,0,0,0,ALLENTOWN,AUSTIN,ALLENTOWNPA-ABE,AUSTINTX-AUS,10/1/23,9/30/24
2001,2024,ABE,BNA,ALLENTOWN,PA,USA,NASHVILLE,TN,USA,AA,C,42,323,117,0,0,ALLENTOWN,NASHVILLE,ALLENTOWNPA-ABE,NASHVILLETN-BNA,10/1/23,9/30/24
2002,2024,ABE,CAE,ALLENTOWN,PA,USA,COLUMBIA,SC,USA,DL,C,101,294,147,0,0,ALLENTOWN,COLUMBIA,ALLENTOWNPA-ABE,COLUMBIASC-CAE,10/1/23,9/30/24
2004,2024,ABE,DCA,ALLENTOWN,PA,USA,WASHINGTON,DC,USA,UA,C,41,61,0,0,0,ALLENTOWN,WASHINGTON,ALLENTOWNPA-ABE,WASHINGTONDC-DCA,10/1/23,9/30/24
2005,2024,ABE,DFW,ALLENTOWN,PA,USA,DALLAS,TX,USA,AA,C,60,356,124,0,0,ALLENTOWN,DALLAS,ALLENTOWNPA-ABE,DALLASTX-DFW,10/1/23,9/30/24
2006,2024,ABE,DSM,ALLENTOWN,PA,USA,DES MOINES,IA,USA,DL,C,20,239,120,0,0,ALLENTOWN,DES MOINES,ALLENTOWNPA-ABE,DES MOINESIA-DSM,10/1/23,9/30/24
2007,2024,ABE,DTW,ALLENTOWN,PA,USA,DETROIT,MI,USA,UA,C,112,205,0,0,0,ALLENTOWN,DETROIT,ALLENTOWNPA-ABE,DETROITMI-DTW,10/1/23,9/30/24
2009,2024,ABE,GPT,ALLENTOWN,PA,USA,GULFPORT,MS,USA,AA,C,20,392,147,0,0,ALLENTOWN,GULFPORT,ALLENTOWNPA-ABE,GULFPORTMS-GPT,10/1/23,9/30/24
2010,2024,ABE,GRK,ALLENTOWN,PA,USA,KILLEEN,TX,USA,AA,C,54,758,0,0,0,ALLENTOWN,KILLEEN,ALLENTOWNPA-ABE,KILLEENTX-GRK,10/1/23,9/30/24
2011,2024,ABE,HSV,ALLENTOWN,PA,USA,HUNTSVILLE,AL,USA,AA,C,60,298,118,0,0,ALLENTOWN,HUNTSVILLE,ALLENTOWNPA-ABE,HUNTSVILLEAL-HSV,10/1/23,9/30/24
2012,2024,ABE,JAX,ALLENTOWN,PA,USA,JACKSONVILLE,FL,USA,UA,C,23,135,0,0,0,ALLENTOWN,JACKSONVILLE,ALLENTOWNPA-ABE,JACKSONVILLEFL-JAX,10/1/23,9/30/24
2013,2024,ABE,LAS,ALLENTOWN,PA,USA,LAS VEGAS,NV,USA,DL,C,20,396,198,0,0,ALLENTOWN,LAS VEGAS,ALLENTOWNPA-ABE,LAS VEGASNV-LAS,10/1/23,9/30/24
2014,2024,ABE,LAX,ALLENTOWN,PA,USA,LOS ANGELES,CA,USA,DL,C,20,420,210,0,0,ALLENTOWN,LOS ANGELES,ALLENTOWNPA-ABE,LOS ANGELESCA-LAX,10/1/23,9/30/24
2016,2024,ABE,MCI,ALLENTOWN,PA,USA,KANSAS CITY,MO,USA,DL,C,24,251,126,0,0,ALLENTOWN,KANSAS CITY,ALLENTOWNPA-ABE,KANSAS CITYMO-MCI,10/1/23,9/30/24
2017,2024,ABE,MCO,ALLENTOWN,PA,USA,ORLANDO,FL,USA,AA,C,75,220,83,0,0,ALLENTOWN,ORLANDO,ALLENTOWNPA-ABE,ORLANDOFL-MCO,10/1/23,9/30/24
2018,2024,ABE,MSY,ALLENTOWN,PA,USA,NEW ORLEANS,LA,USA,AA,C,42,381,144,0,0,ALLENTOWN,NEW ORLEANS,ALLENTOWNPA-ABE,NEW ORLEANSLA-MSY,10/1/23,9/30/24
2019,2024,ABE,OKC,ALLENTOWN,PA,USA,OKLAHOMA CITY,OK,USA,UA,C,143,304,0,0,0,ALLENTOWN,OKLAHOMA CITY,ALLENTOWNPA-ABE,OKLAHOMA CITYOK-OKC,10/1/23,9/30/24
2020,2024,ABE,ONT,ALLENTOWN,PA,USA,ONTARIO,CA,USA,DL,C,26,414,207,0,0,ALLENTOWN,ONTARIO,ALLENTOWNPA-ABE,ONTARIOCA-ONT,10/1/23,9/30/24
2021,2024,ABE,ORD,ALLENTOWN,PA,USA,CHICAGO,IL,USA,UA,N,164,204,0,0,0,ALLENTOWN,CHICAGO,ALLENTOWNPA-ABE,CHICAGOIL-ORD,10/1/23,9/30/24
2022,2024,ABE,ORF,ALLENTOWN,PA,USA,NORFOLK,VA,USA,UA,C,51,262,0,0,0,ALLENTOWN,NORFOLK,ALLENTOWNPA-ABE,NORFOLKVA-ORF,10/1/23,9/30/24
2023,2024,ABE,PHX,ALLENTOWN,PA,USA,PHOENIX,AZ,USA,UA,C,37,215,0,0,0,ALLENTOWN,PHOENIX,ALLENTOWNPA-ABE,PHOENIXAZ-PHX,10/1/23,9/30/24
2024,2024,ABE,PSP,ALLENTOWN,PA,USA,PALM SPRINGS,CA,USA,UA,C,24,308,0,0,0,ALLENTOWN,PALM SPRINGS,ALLENTOWNPA-ABE,PALM SPRINGSCA-PSP,10/1/23,9/30/24
2025,2024,ABE,RIC,ALLENTOWN,PA,USA,RICHMOND,VA,USA,UA,C,45,292,0,0,0,ALLENTOWN,RICHMOND,ALLENTOWNPA-ABE,RICHMONDVA-RIC,10/1/23,9/30/24
2026,2024,ABE,SAN,ALLENTOWN,PA,USA,SAN DIEGO,CA,USA,AA,C,83,430,129,0,0,ALLENTOWN,SAN DIEGO,ALLENTOWNPA-ABE,SAN DIEGOCA-SAN,10/1/23,9/30/24
2027,2024,ABE,SAT,ALLENTOWN,PA,USA,SAN ANTONIO,TX,USA,UA,C,89,299,0,0,0,ALLENTOWN,SAN ANTONIO,ALLENTOWNPA-ABE,SAN ANTONIOTX-SAT,10/1/23,9/30/24
2028,2024,ABE,SAV,ALLENTOWN,PA,USA,SAVANNAH,GA,USA,UA,C,25,131,0,0,0,ALLENTOWN,SAVANNAH,ALLENTOWNPA-ABE,SAVANNAHGA-SAV,10/1/23,9/30/24
2029,2024,ABE,SDF,ALLENTOWN,PA,USA,LOUISVILLE,KY,USA,AA,C,225,211,71,0,0,ALLENTOWN,LOUISVILLE,ALLENTOWNPA-ABE,LOUISVILLEKY-SDF,10/1/23,9/30/24
2030,2024,ABE,SEA,ALLENTOWN,PA,USA,SEATTLE,WA,USA,AA,C,88,438,149,0,0,ALLENTOWN,SEATTLE,ALLENTOWNPA-ABE,SEATTLEWA-SEA,10/1/23,9/30/24
2031,2024,ABE,SLC,ALLENTOWN,PA,USA,SALT LAKE CITY,UT,USA,UA,C,13,348,0,0,0,ALLENTOWN,SALT LAKE CITY,ALLENTOWNPA-ABE,SALT LAKE CITYUT-SLC,10/1/23,9/30/24
2032,2024,ABE,STL,ALLENTOWN,PA,USA,ST LOUIS,MO,USA,AA,C,92,331,108,0,0,ALLENTOWN,ST LOUIS,ALLENTOWNPA-ABE,ST LOUISMO-STL,10/1/23,9/30/24
15001,2024,ABE,HNL,ALLENTOWN,PA,USA,HONOLULU,HI,USA,UA,C,23,333,0,0,0,ALLENTOWN,HONOLULU,ALLENTOWNPA-ABE,HONOLULUHI-HNL,10/1/23,9/30/24
2033,2024,ABI,ABQ,ABILENE,TX,USA,ALBUQUERQUE,NM,USA,AA,C,73,482,266,0,0,ABILENE,ALBUQUERQUE,ABILENETX-ABI,ALBUQUERQUENM-ABQ,10/1/23,9/30/24
2034,2024,ABI,ALB,ABILENE,TX,USA,ALBANY,NY,USA,AA,C,9,514,278,0,0,ABILENE,ALBANY,ABILENETX-ABI,ALBANYNY-ALB,10/1/23,9/30/24
2035,2024,ABI,ATL,ABILENE,TX,USA,ATLANTA,GA,USA,AA,C,246,476,290,0,0,ABILENE,ATLANTA,ABILENETX-ABI,ATLANTAGA-ATL,10/1/23,9/30/24
2036,2024,ABI,BHM,ABILENE,TX,USA,BIRMINGHAM,AL,USA,AA,C,20,554,248,0,0,ABILENE,BIRMINGHAM,ABILENETX-ABI,BIRMINGHAMAL-BHM,10/1/23,9/30/24
2037,2024,ABI,BNA,ABILENE,TX,USA,NASHVILLE,TN,USA,AA,C,26,549,246,0,0,ABILENE,NASHVILLE,ABILENETX-ABI,NASHVILLETN-BNA,10/1/23,9/30/24
2038,2024,ABI,BOI,ABILENE,TX,USA,BOISE,ID,USA,AA,C,50,633,248,0,0,ABILENE,BOISE,ABILENETX-ABI,BOISEID-BOI,10/1/23,9/30/24
2039,2024,ABI,BWI,ABILENE,TX,USA,WASHINGTON,DC,USA,AA,C,149,516,312,0,0,ABILENE,WASHINGTON,ABILENETX-ABI,WASHINGTONDC-BWI,10/1/23,9/30/24
2040,2024,ABI,CAE,ABILENE,TX,USA,COLUMBIA,SC,USA,AA,C,123,470,234,0,0,ABILENE,COLUMBIA,ABILENETX-ABI,COLUMBIASC-CAE,10/1/23,9/30/24
2042,2024,ABI,COS,ABILENE,TX,USA,COLORADO SPRINGS,CO,USA,AA,C,84,446,276,0,0,ABILENE,COLORADO SPRINGS,ABILENETX-ABI,COLORADO SPRINGSCO-COS,10/1/23,9/30/24
2043,2024,ABI,DAY,ABILENE,TX,USA,DAYTON,OH,USA,AA,C,136,526,354,0,0,ABILENE,DAYTON,ABILENETX-ABI,DAYTONOH-DAY,10/1/23,9/30/24
2044,2024,ABI,DCA,ABILENE,TX,USA,WASHINGTON,DC,USA,AA,C,326,520,356,0,0,ABILENE,WASHINGTON,ABILENETX-ABI,WASHINGTONDC-DCA,10/1/23,9/30/24
2045,2024,ABI,DEN,ABILENE,TX,USA,DENVER,CO,USA,AA,C,126,484,331,0,0,ABILENE,DENVER,ABILENETX-ABI,DENVERCO-DEN,10/1/23,9/30/24
2047,2024,ABI,ECP,ABILENE,TX,USA,PANAMA CITY,FL,USA,AA,C,117,632,357,0,0,ABILENE,PANAMA CITY,ABILENETX-ABI,PANAMA CITYFL-ECP,10/1/23,9/30/24
2048,2024,ABI,ELP,ABILENE,TX,USA,EL PASO,TX,USA,AA,C,106,498,250,0,0,ABILENE,EL PASO,ABILENETX-ABI,EL PASOTX-ELP,10/1/23,9/30/24
2049,2024,ABI,FAY,ABILENE,TX,USA,FAYETTEVILLE,NC,USA,AA,C,33,600,324,0,0,ABILENE,FAYETTEVILLE,ABILENETX-ABI,FAYETTEVILLENC-FAY,10/1/23,9/30/24
2050,2024,ABI,FRA,ABILENE,TX,USA,FRANKFURT,,GERMANY,AA,C,91,2030,0,0,0,ABILENE,FRANKFURT,ABILENETX-ABI,FRANKFURT-FRA,10/1/23,9/30/24
2051,2024,ABI,GPT,ABILENE,TX,USA,GULFPORT,MS,USA,AA,C,63,517,349,0,0,ABILENE,GULFPORT,ABILENETX-ABI,GULFPORTMS-GPT,10/1/23,9/30/24
2052,2024,ABI,HNL,ABILENE,TX,USA,HONOLULU,HI,USA,AA,C,103,734,0,0,0,ABILENE,HONOLULU,ABILENETX-ABI,HONOLULUHI-HNL,10/1/23,9/30/24
2053,2024,ABI,IAD,ABILENE,TX,USA,WASHINGTON,DC,USA,AA,C,69,394,0,0,0,ABILENE,WASHINGTON,ABILENETX-ABI,WASHINGTONDC-IAD,10/1/23,9/30/24
2054,2024,ABI,IAH,ABILENE,TX,USA,HOUSTON,TX,USA,AA,C,27,491,220,0,0,ABILENE,HOUSTON,ABILENETX-ABI,HOUSTONTX-IAH,10/1/23,9/30/24
2055,2024,ABI,JAX,ABILENE,TX,USA,JACKSONVILLE,FL,USA,AA,C,55,462,340,0,0,ABILENE,JACKSONVILLE,ABILENETX-ABI,JACKSONVILLEFL-JAX,10/1/23,9/30/24
2056,2024,ABI,LAS,ABILENE,TX,USA,LAS VEGAS,NV,USA,AA,C,693,517,229,0,0,ABILENE,LAS VEGAS,ABILENETX-ABI,LAS VEGASNV-LAS,10/1/23,9/30/24
2057,2024,ABI,LAX,ABILENE,TX,USA,LOS ANGELES,CA,USA,AA,C,80,397,0,0,0,ABILENE,LOS ANGELES,ABILENETX-ABI,LOS ANGELESCA-LAX,10/1/23,9/30/24
2058,2024,ABI,LIT,ABILENE,TX,USA,LITTLE ROCK,AR,USA,AA,C,232,588,330,0,0,ABILENE,LITTLE ROCK,ABILENETX-ABI,LITTLE ROCKAR-LIT,10/1/23,9/30/24
2059,2024,ABI,LON,ABILENE,TX,USA,LONDON,,UNITED KINGDOM,AA,C,80,2151,0,6000,0,ABILENE,LONDON,ABILENETX-ABI,LONDON-LON,10/1/23,9/30/24
2060,2024,ABI,MCI,ABILENE,TX,USA,KANSAS CITY,MO,USA,AA,C,140,422,287,0,0,ABILENE,KANSAS CITY,ABILENETX-ABI,KANSAS CITYMO-MCI,10/1/23,9/30/24
2061,2024,ABI,MCO,ABILENE,TX,USA,ORLANDO,FL,USA,AA,C,113,500,278,0,0,ABILENE,ORLANDO,ABILENETX-ABI,ORLANDOFL-MCO,10/1/23,9/30/24
2062,2024,ABI,MEM,ABILENE,TX,USA,MEMPHIS,TN,USA,AA,C,24,528,236,0,0,ABILENE,MEMPHIS,ABILENETX-ABI,MEMPHISTN-MEM,10/1/23,9/30/24
2063,2024,ABI,MGM,ABILENE,TX,USA,MONTGOMERY,AL,USA,AA,C,149,580,328,0,0,ABILENE,MONTGOMERY,ABILENETX-ABI,MONTGOMERYAL-MGM,10/1/23,9/30/24
2064,2024,ABI,OKC,ABILENE,TX,USA,OKLAHOMA CITY,OK,USA,AA,C,19,400,267,0,0,ABILENE,OKLAHOMA CITY,ABILENETX-ABI,OKLAHOMA CITYOK-OKC,10/1/23,9/30/24
2065,2024,ABI,OMA,ABILENE,TX,USA,OMAHA,NE,USA,AA,C,135,463,287,0,0,ABILENE,OMAHA,ABILENETX-ABI,OMAHANE-OMA,10/1/23,9/30/24
2066,2024,ABI,ONT,ABILENE,TX,USA,ONTARIO,CA,USA,AA,C,162,534,268,0,0,ABILENE,ONTARIO,ABILENETX-ABI,ONTARIOCA-ONT,10/1/23,9/30/24
2067,2024,ABI,ORF,ABILENE,TX,USA,NORFOLK,VA,USA,AA,C,373,360,0,0,0,ABILENE,NORFOLK,ABILENETX-ABI,NORFOLKVA-ORF,10/1/23,9/30/24
2068,2024,ABI,PHL,ABILENE,TX,USA,PHILADELPHIA,PA,USA,AA,C,228,515,0,0,0,ABILENE,PHILADELPHIA,ABILENETX-ABI,PHILADELPHIAPA-PHL,10/1/23,9/30/24
2069,2024,ABI,PHX,ABILENE,TX,USA,PHOENIX,AZ,USA,AA,C,107,420,256,0,0,ABILENE,PHOENIX,ABILENETX-ABI,PHOENIXAZ-PHX,10/1/23,9/30/24
2070,2024,ABI,PNS,ABILENE,TX,USA,PENSACOLA,FL,USA,AA,C,54,543,365,0,0,ABILENE,PENSACOLA,ABILENETX-ABI,PENSACOLAFL-PNS,10/1/23,9/30/24
2071,2024,ABI,PVD,ABILENE,TX,USA,PROVIDENCE,RI,USA,AA,C,24,411,184,0,0,ABILENE,PROVIDENCE,ABILENETX-ABI,PROVIDENCERI-PVD,10/1/23,9/30/24
2072,2024,ABI,RAP,ABILENE,TX,USA,RAPID CITY,SD,USA,AA,C,241,511,313,0,0,ABILENE,RAPID CITY,ABILENETX-ABI,RAPID CITYSD-RAP,10/1/23,9/30/24
2073,2024,ABI,RDU,ABILENE,TX,USA,DURHAM,NC,USA,AA,C,135,559,315,0,0,ABILENE,DURHAM,ABILENETX-ABI,DURHAMNC-RDU,10/1/23,9/30/24
2075,2024,ABI,RNO,ABILENE,TX,USA,RENO,NV,USA,AA,C,20,598,268,0,0,ABILENE,RENO,ABILENETX-ABI,RENONV-RNO,10/1/23,9/30/24
2076,2024,ABI,SAN,ABILENE,TX,USA,SAN DIEGO,CA,USA,AA,C,123,499,307,0,0,ABILENE,SAN DIEGO,ABILENETX-ABI,SAN DIEGOCA-SAN,10/1/23,9/30/24
2077,2024,ABI,SEA,ABILENE,TX,USA,SEATTLE,WA,USA,AA,C,201,648,286,0,0,ABILENE,SEATTLE,ABILENETX-ABI,SEATTLEWA-SEA,10/1/23,9/30/24
2078,2024,ABI,SEL,ABILENE,TX,USA,SEOUL,,SOUTH KOREA,AA,C,22,1399,832,0,0,ABILENE,SEOUL,ABILENETX-ABI,SEOUL-SEL,10/1/23,9/30/24
2079,2024,ABI,SFO,ABILENE,TX,USA,SAN FRANCISCO,CA,USA,AA,C,21,598,268,0,0,ABILENE,SAN FRANCISCO,ABILENETX-ABI,SAN FRANCISCOCA-SFO,10/1/23,9/30/24
2080,2024,ABI,SHV,ABILENE,TX,USA,SHREVEPORT,LA,USA,AA,C,80,613,209,0,0,ABILENE,SHREVEPORT,ABILENETX-ABI,SHREVEPORTLA-SHV,10/1/23,9/30/24
2081,2024,ABI,SLC,ABILENE,TX,USA,SALT LAKE CITY,UT,USA,AA,C,103,479,238,0,0,ABILENE,SALT LAKE CITY,ABILENETX-ABI,SALT LAKE CITYUT-SLC,10/1/23,9/30/24
2082,2024,ABI,SMF,ABILENE,TX,USA,SACRAMENTO,CA,USA,AA,C,245,603,334,0,0,ABILENE,SACRAMENTO,ABILENETX-ABI,SACRAMENTOCA-SMF,10/1/23,9/30/24
2083,2024,ABI,STL,ABILENE,TX,USA,ST LOUIS,MO,USA,AA,C,330,683,267,0,0,ABILENE,ST LOUIS,ABILENETX-ABI,ST LOUISMO-STL,10/1/23,9/30/24
2084,2024,ABI,TPA,ABILENE,TX,USA,TAMPA,FL,USA,AA,C,122,466,319,0,0,ABILENE,TAMPA,ABILENETX-ABI,TAMPAFL-TPA,10/1/23,9/30/24
2085,2024,ABI,TUS,ABILENE,TX,USA,TUCSON,AZ,USA,AA,C,165,547,274,0,0,ABILENE,TUCSON,ABILENETX-ABI,TUCSONAZ-TUS,10/1/23,9/30/24
2087,2024,ABI,VPS,ABILENE,TX,USA,DESTIN FORT WALTON BEACH,FL,USA,AA,C,295,449,274,0,0,ABILENE,DESTIN FORT WALTON BEACH,ABILENETX-ABI,DESTIN FORT WALTON BEACHFL-VPS,10/1/23,9/30/24
15003,2024,ABI,ANC,ABILENE,TX,USA,ANCHORAGE,AK,USA,AA,C,60,340,179,0,0,ABILENE,ANCHORAGE,ABILENETX-ABI,ANCHORAGEAK-ANC,10/1/23,1/8/24
15004,2024,ABI,CLT,ABILENE,TX,USA,CHARLOTTE,NC,USA,AA,C,31,309,205,0,0,ABILENE,CHARLOTTE,ABILENETX-ABI,CHARLOTTENC-CLT,10/1/23,9/30/24
15005,2024,ABI,EWR,ABILENE,TX,USA,NEW YORK,NY,USA,AA,C,17,315,233,0,0,ABILENE,NEW YORK,ABILENETX-ABI,NEW YORKNY-EWR,10/1/23,9/30/24
15007,2024,ABI,GEG,ABILENE,TX,USA,SPOKANE,WA,USA,AA,C,100,447,235,0,0,ABILENE,SPOKANE,ABILENETX-ABI,SPOKANEWA-GEG,10/1/23,9/30/24
15009,2024,ABI,HSV,ABILENE,TX,USA,HUNTSVILLE,AL,USA,AA,C,37,328,219,0,0,ABILENE,HUNTSVILLE,ABILENETX-ABI,HUNTSVILLEAL-HSV,10/1/23,9/30/24
15010,2024,ABI,IND,ABILENE,TX,USA,INDIANAPOLIS,IN,USA,AA,C,11,257,173,0,0,ABILENE,INDIANAPOLIS,ABILENETX-ABI,INDIANAPOLISIN-IND,10/1/23,9/30/24
15011,2024,ABI,MIA,ABILENE,TX,USA,MIAMI,FL,USA,AA,C,28,643,313,0,0,ABILENE,MIAMI,ABILENETX-ABI,MIAMIFL-MIA,10/1/23,9/30/24
15013,2024,ABI,MSN,ABILENE,TX,USA,MADISON,WI,USA,AA,C,11,736,492,0,0,ABILENE,MADISON,ABILENETX-ABI,MADISONWI-MSN,10/1/23,9/30/24
15014,2024,ABI,MSP,ABILENE,TX,USA,MINNEAPOLIS,MN,USA,AA,C,58,603,329,0,0,ABILENE,MINNEAPOLIS,ABILENETX-ABI,MINNEAPOLISMN-MSP,10/1/23,9/30/24
15016,2024,ABI,SAT,ABILENE,TX,USA,SAN ANTONIO,TX,USA,AA,C,50,386,227,0,0,ABILENE,SAN ANTONIO,ABILENETX-ABI,SAN ANTONIOTX-SAT,10/1/23,9/30/24
15017,2024,ABI,SDF,ABILENE,TX,USA,LOUISVILLE,KY,USA,AA,C,44,481,356,0,0,ABILENE,LOUISVILLE,ABILENETX-ABI,LOUISVILLEKY-SDF,10/1/23,9/30/24
15018,2024,ABI,SPS,ABILENE,TX,USA,WICHITA FALLS,TX,USA,AA,C,5,206,108,0,0,ABILENE,WICHITA FALLS,ABILENETX-ABI,WICHITA FALLSTX-SPS,10/1/23,9/30/24
3,2024,ABQ,ATL,ALBUQUERQUE,NM,USA,ATLANTA,GA,USA,WN,C,2092,356,99,0,0,ALBUQUERQUE,ATLANTA,ALBUQUERQUENM-ABQ,ATLANTAGA-ATL,10/1/23,9/30/24
4,2024,ABQ,BUR,ALBUQUERQUE,NM,USA,BURBANK,CA,USA,WN,N,293,248,99,0,0,ALBUQUERQUE,BURBANK,ALBUQUERQUENM-ABQ,BURBANKCA-BUR,10/1/23,9/30/24
5,2024,ABQ,DCA,ALBUQUERQUE,NM,USA,WASHINGTON,DC,USA,WN,C,9795,337,84,0,0,ALBUQUERQUE,WASHINGTON,ALBUQUERQUENM-ABQ,WASHINGTONDC-DCA,10/1/23,9/30/24
6,2024,ABQ,DEN,ALBUQUERQUE,NM,USA,DENVER,CO,USA,WN,N,2591,242,77,0,0,ALBUQUERQUE,DENVER,ALBUQUERQUENM-ABQ,DENVERCO-DEN,10/1/23,9/30/24
7,2024,ABQ,DFW,ALBUQUERQUE,NM,USA,DALLAS,TX,USA,AA,N,1746,593,360,0,0,ALBUQUERQUE,DALLAS,ALBUQUERQUENM-ABQ,DALLASTX-DFW,10/1/23,9/30/24
8,2024,ABQ,HOU,ALBUQUERQUE,NM,USA,HOUSTON,TX,USA,WN,N,402,430,391,0,0,ALBUQUERQUE,HOUSTON,ALBUQUERQUENM-ABQ,HOUSTONTX-HOU,10/1/23,9/30/24
9,2024,ABQ,IAH,ALBUQUERQUE,NM,USA,HOUSTON,TX,USA,UA,N,570,410,0,0,0,ALBUQUERQUE,HOUSTON,ALBUQUERQUENM-ABQ,HOUSTONTX-IAH,10/1/23,9/30/24
10,2024,ABQ,JFK,ALBUQUERQUE,NM,USA,NEW YORK,NY,USA,B6,N,189,215,125,0,0,ALBUQUERQUE,NEW YORK,ALBUQUERQUENM-ABQ,NEW YORKNY-JFK,10/1/23,9/30/24
11,2024,ABQ,LAS,ALBUQUERQUE,NM,USA,LAS VEGAS,NV,USA,WN,N,1921,410,326,0,0,ALBUQUERQUE,LAS VEGAS,ALBUQUERQUENM-ABQ,LAS VEGASNV-LAS,10/1/23,9/30/24
12,2024,ABQ,LAX,ALBUQUERQUE,NM,USA,LOS ANGELES,CA,USA,AA,N,2671,153,65,0,0,ALBUQUERQUE,LOS ANGELES,ALBUQUERQUENM-ABQ,LOS ANGELESCA-LAX,10/1/23,9/30/24
13,2024,ABQ,PDX,ALBUQUERQUE,NM,USA,PORTLAND,OR,USA,WN,C,551,269,96,0,0,ALBUQUERQUE,PORTLAND,ALBUQUERQUENM-ABQ,PORTLANDOR-PDX,1/8/24,3/14/24
13,2024,ABQ,PDX,ALBUQUERQUE,NM,USA,PORTLAND,OR,USA,AS,N,551,309,136,0,0,ALBUQUERQUE,PORTLAND,ALBUQUERQUENM-ABQ,PORTLANDOR-PDX,3/14/24,9/30/24
13,2024,ABQ,PDX,ALBUQUERQUE,NM,USA,PORTLAND,OR,USA,AS,N,551,309,136,0,0,ALBUQUERQUE,PORTLAND,ALBUQUERQUENM-ABQ,PORTLANDOR-PDX,10/1/23,1/8/24
14,2024,ABQ,PHX,ALBUQUERQUE,NM,USA,PHOENIX,AZ,USA,WN,N,2306,277,53,0,0,ALBUQUERQUE,PHOENIX,ALBUQUERQUENM-ABQ,PHOENIXAZ-PHX,10/1/23,9/30/24
15,2024,ABQ,SAN,ALBUQUERQUE,NM,USA,SAN DIEGO,CA,USA,WN,N,1905,354,100,0,0,ALBUQUERQUE,SAN DIEGO,ALBUQUERQUENM-ABQ,SAN DIEGOCA-SAN,10/1/23,9/30/24
16,2024,ABQ,SEA,ALBUQUERQUE,NM,USA,SEATTLE,WA,USA,AS,N,1627,319,155,0,0,ALBUQUERQUE,SEATTLE,ALBUQUERQUENM-ABQ,SEATTLEWA-SEA,10/1/23,9/30/24
17,2024,ABQ,SFO,ALBUQUERQUE,NM,USA,SAN FRANCISCO,CA,USA,UA,N,666,212,0,0,0,ALBUQUERQUE,SAN FRANCISCO,ALBUQUERQUENM-ABQ,SAN FRANCISCOCA-SFO,10/1/23,9/30/24
18,2024,ABQ,SLC,ALBUQUERQUE,NM,USA,SALT LAKE CITY,UT,USA,DL,N,2708,518,259,0,0,ALBUQUERQUE,SALT LAKE CITY,ALBUQUERQUENM-ABQ,SALT LAKE CITYUT-SLC,10/1/23,9/30/24
2091,2024,ABQ,AEX,ALBUQUERQUE,NM,USA,ALEXANDRIA,LA,USA,AA,C,49,461,256,0,0,ALBUQUERQUE,ALEXANDRIA,ALBUQUERQUENM-ABQ,ALEXANDRIALA-AEX,10/1/23,9/30/24
2092,2024,ABQ,AGS,ALBUQUERQUE,NM,USA,AUGUSTA,GA,USA,AA,C,281,359,103,0,0,ALBUQUERQUE,AUGUSTA,ALBUQUERQUENM-ABQ,AUGUSTAGA-AGS,10/1/23,9/30/24
2093,2024,ABQ,ALB,ALBUQUERQUE,NM,USA,ALBANY,NY,USA,WN,C,71,364,110,0,0,ALBUQUERQUE,ALBANY,ALBUQUERQUENM-ABQ,ALBANYNY-ALB,10/1/23,9/30/24
2094,2024,ABQ,AMS,ALBUQUERQUE,NM,USA,AMSTERDAM,,NETHERLANDS,DL,C,37,1042,781,3558,0,ALBUQUERQUE,AMSTERDAM,ALBUQUERQUENM-ABQ,AMSTERDAM-AMS,10/1/23,9/30/24
2095,2024,ABQ,ANC,ALBUQUERQUE,NM,USA,ANCHORAGE,AK,USA,AS,C,381,365,180,0,0,ALBUQUERQUE,ANCHORAGE,ALBUQUERQUENM-ABQ,ANCHORAGEAK-ANC,10/1/23,9/30/24
2096,2024,ABQ,AUS,ALBUQUERQUE,NM,USA,AUSTIN,TX,USA,WN,N,475,225,77,0,0,ALBUQUERQUE,AUSTIN,ALBUQUERQUENM-ABQ,AUSTINTX-AUS,10/1/23,9/30/24
2097,2024,ABQ,AVL,ALBUQUERQUE,NM,USA,HENDERSONVILLE,NC,USA,AA,C,91,334,102,0,0,ALBUQUERQUE,HENDERSONVILLE,ALBUQUERQUENM-ABQ,HENDERSONVILLENC-AVL,10/1/23,9/30/24
2098,2024,ABQ,AVP,ALBUQUERQUE,NM,USA,SCRANTON,PA,USA,UA,C,29,306,0,0,0,ALBUQUERQUE,SCRANTON,ALBUQUERQUENM-ABQ,SCRANTONPA-AVP,10/1/23,9/30/24
